ratings,reviews
5,This was a birthday present and it was ideal for a traveler to read ebooks on while on the rood
5,"My teenage daughter enjoyed her three year old 7"" Kindle for recreation but wanted a larger screen for word processing. Paired this with a Bluetooth keyboard and she was thrilled."
1,"i Bought this around black friday for $60 hoping it would be awesome... it failed so hard i tried multiple different micro SD cards none of which were recognized and YES i formated them with every format i could think of ... Fat32, NTFS, Fat, Xfat... i even tried to have the tablet do it... didnt work... to make matters worse half the apps i wanted to use werent in the app store and i came to find out that it isnt linked to the normal google play store this tablet has its own app store which is missing many common apps... the main reason i bought this was to play clash of clans and i cant because it wasnt on the app store... i tried to also use aftermarket play stores to play COC but it didnt work... launched and played 1 time but didnt work or update after that... needless to say i returned it and bought a $250 samsung galaxy tab A 10.1 (2016 version) with S-pen and its WAYYYYY better... bottom line you get what you pay for... also hint the s-pen version has an extra 1 GB of ram over the non pen version... so you should get that if you can afford the extra $50..."
5,The People I purchased this for during Christmas Holiday LOVED IT...
5,"I purchased two of these for my kids, ages 12 and 10. Forget the IPod touch. For the price, this tablet can't be beat! They can download games, books and movies for free all included with my Amazon Prime membership. Awesome!!"
5,my kids enjoy the Fire HD and they love the picture quality
4,Bought two of these tablets for my nieces for Christmas after we had originally bought the Amazon fire 7 inch which had a virus after 3 days of purchase and was unable to work good thing we played with it prior to giving as gift do to this being said I was very surprised on how well this tablet has held up to to not so careful 8 years olds playing with it daily we have had no problems screen is big enough for little hands to maneuver and see on was the highlight of there Christmas and still is would definitely recommend it
5,Really like the updates this product has in comparison to my first one
5,Functionality and ease of use are outstanding right out of the the box. Super clear screen and weight is minimum and is a joy to use.
5,This tablet is great for kids and adults who have little to no knowledge of computers. It handles easily and has plenty of storage
5,My god sister has been using these for years.What to read more!
5,"The latest Amazon 8"" HD tablet is a very good tablet for the price. The updated processor and extra memory (with expansion slot) allow for very good performance on all that we use this tablet for. Netflix, Hulu, browsing the internet, and doing e-mails all work very smoothly. Would recommend to anyone looking for a very cost effective tablet"
5,"totally worth the money, has all the apps I use on a daily basis!"
5,Good tablet. Wife loves it and would recommend....
5,I use mine mainly for its bigger screen. I do all the same things i do on my phone..but love the big screen. I bought one for eaxh of my nieces too. And they both love theres. Making videos..playing music..reading books. They bith love them! Im happy i got them for all of us. And always reccomend them to my friends for their kids too.
5,"Amazon Fire HD8 is a great product for the price. I picked it up for $69 during the holiday shopping season. Replacing a 1st gen Samsung Tab 2. This thing is sooo much faster. Perfect size for reading Kindle books , emails, and doing the social media thing."
4,It was a good gift for the price and had many features and options
4,"Not as fancy as the ipad, but a fraction of the cost works well with android system and all apps like on our android phones, cant beat the price"
5,"My kids can play, read, watch movies and much more love it!!!"
4,"Great tablet for reading books, but the bluetooth is hard to get working and there are much better tablets for games and movies"
5,I love this Kindle!! I am biased I think however I have had 3 previous ones I prefer Kindles to any other tablet
4,This is a great tablet for kids. I love that their time on the tablet can be restricted.
4,Easy to use. Good size. Great eReader. Not so expensive that I worry about my kids using it.
5,This Tablet was purchased for our Grandmother so she could play games and read books on.
5,"Bought a few of these for Christmas gifts .Everyone is happy !Its a great device for the $$. Low price, and great quality as always from FIRE devices."
4,"I purchased this item for my husband and he has liked reading Kindle books on it and the other features like Silk, etc. Light little tablet with good features."
5,"Bought this for our year end holiday party raffle prize pool. Great price and people always have a use for an amazon tablet. Came with Kaspersky for free as well, which is a pretty generous complimentary add on."
4,"My 6 yr old daughter got this tablet from Santa for Christmas. So far she loves it, a little too much perhaps.. I only use it to manage her account/permissions and so far haven't had any issues with it.. Software and HW not quite as refined as apple iPad products, but what can you expect at the lower price point."
4,"my opinion its a good option for the cost. Not as great as Apple Ipad, but it costs so much less. Still can get good use"
5,"Has many educational apps I would definitely go into the settings if you're a mother like me who Is a very strict of what your children watch on TV or what games and apps they download I would definitely recommend setting the parental controls before giving it to them. In my personal opinion as a mother I feel it helps by setting the restrictions/content on It helps keep their mind away from the gutter Bcuz most apps and Internet websites have inappropriate sites children should not be watching. We can't control what they put on the Internet but we can control what our children watch and download they stay very occupied on educational apps ,read books most of these apps are free to I also recommend NOT putting a payment method option other than that my kids loved it"
4,"the hd feature is what sold me on this product, along with the fact its a lotmore streamline than the older version that I have"
5,"Very nice for light internet browsing, keeping on top of email, viewing videos, and reading e books, which I like to get free from the library. Good browser, good battery power, fast charge. Very relaxing to sit in a comfy chair and read or browse. Has given me hours of enjoyment and information for a minimal price."
5,I bought this for my wife to replace her old Kindle and she loves it. Much easier to read than an iPad and updated features make it a great purchase.
5,Great tablet and price. Ordering online easy. Not happy took so long to receive though.
5,"Best tablet, good price, nice looking. Ordering on line was easy."
5,"I got this for my mom for Christmas. Every time I visit, she shows me something else she can do with it. I'm so jealous, I hope I get one."
5,This is my fourth Kindle...upgrading each time. Mine goes everywhere with me and is used throughout the day. Wouldn't be without it.
5,We bought this for our son when he went to college. He is able to upload all of his books and other documents.
5,I purchased it for my mother-in-law and she loves it it was easier for her to use and understand
5,The Amazon Fire is amazing! Picture clarity and sound are excellent! I highly recommend this tablet! Love it!
5,Sharp picture and easy to use. And a fantastic price
4,I like this is great I bought it my friend he was pleased abount
4,I wanted a low cost but quality tablet and this one is a dream! Easy to navigate and excellent graphics.
5,This a great tablet for everyone. Plenty of memory for downloading. Great features all around.
5,"I own two Nook tablets, another Kindle and a Samsung and this is the best one yet. Excellent battery life. Lets me check emails the Web and with Kindle. books can be switched from reads to listens. Also works better than the Nook with audiobooks."
1,I bought this tablet for my 4 year old daughter. Too many advertisements. I would rather pay more and not have a single ad.
5,This is a step up from what my son was using. He said it does well and easy to use.
4,This is a good tablet for kids who are starting off
5,I bought this for my 6 year old and it's perfect. Faster & clearer than older versions.
5,Awesome good size large enough for games and photos
5,Great gift easy to use and she loves being able to take it anywhere
5,"I bought this to replace the 7 inch version I lost in the airport. I wanted the bigger screen and the higher resolutions. It is much when loading games in offline mode as well as videos I have downloaded from Amazon Prime to play on the plane when wifi is not available. That was a plus for me. And now that the updated Netflix app allows the same thing, I have plenty of videos. I can also play my .mp4 videos using VLC player that I load to a microSD card. Of course you have wifi and Bluetooth so great for surfing try he net or listening to music. The 8 in screen is perfect for lying in bed and watching my show. I highly recommend this."
5,"Intuitive user interface, rapid online access through well designed features, light weight, ergonomic buttons for volume and power. Overall a thoroughly well designed, excellent priced device for web browsing and social media."
4,PURCHASED THIS WITH A STORE CREDIT AND LIKE IT A LOT. COMPARES WELL WITH MORE EXPENSIVE TABLETS..RECOMMENDED
5,"great device for the price. good looking screen, quick and efficient. amazon app store isn't that bad either"
5,Great gift for any age. Wish I bought two. I can do everything on this that I was doing on my ipad
4,Great budget tablet for web browsing. Also useful as an MP3 player and ebook reader.
5,I got 2 of these for my 8 yr old twins. My 11 yr old has one but this one is better. Perfect way to get them to read
5,This is a superb tablet for the price. It doesn't come with the Android operating system. It has Amazon's operating system. The battery last a good long time and apps run very fast. I would recommend this to anyone who wants a tablet.
5,"My daughter love her new tablet, I use for a few days and it's pretty good"
5,So very happy with the new kindle ! I highly recommend this product !
5,It may be cheap but this is a great tablet and works awesome.
5,My wife absolutely loves this tablet. It wad an early Christmas present
5,Bought for my 11 year old son and he absolutely loves it.
5,I bought this as a Christmas gift for my son. Very easy to use.
4,This product is very handy on the go. I can check emails and find work for my truck.
5,"I am an Amazon Fan. Ive only had Amazon tablets so I cant compare them with any other brand. But, Amazon has great customer service, a lot of great apps. The HD 8 is a great tablet for watching movies, most games, and social media. Its not as good as the Kindle fire hdx. The speakers arent as good, the hdx has more of a surround sound, but the hd 8 is less expensive, has a place for a sims card for extra space, and has an ok front and rear facing camera. Overall its a great tablet for a great price."
5,"I previously had bought an older model of these tablets for my children. I wasn't to happy with them. But this tablet is great, it has child safety features like wether you would like to have them surf the web to even limiting the amount of hours your child can use it. Very good tablet for what my kids will use it for which is mostly Netflix Hulu and even though there isn't you tube app there are alternate apps that acces you tube."
5,"Got this tablet for Black Friday. Wow, 16 gigs, great screen, expandable memory, what a deal. Tablet is a must have for Amazon Prime members. It unlocks the door for all those great Prime perks; books, shows, and shopping. Pairs to Alexa. Great screen for books! Buy it already!"
4,Bought it on black Friday for 60$ .Value for money tablet. It lags at heavy tasks and also apps are reloaded when 2-3 apps are opened at same time. But at this price it is expected. Go for it if budget is <100$.
4,overall this is a good tablet. it is best with those who have Prime Amazon and the ability to watch Amazon video. a good price for a good tablet but has limitations based on the operating system. for video watching and basic use a good choice
5,I love the size and portability of this. Keeps me in touch and having fun.
5,Nice tablet and couldn't beat the Black Friday price
5,I'm sorry I didn't buy it sooner! Very easy to use. Love it.
5,"It feels a bit more rugged than my original Fire tablet, and I believe it is an excellent value."
4,Good tablet for basic needs. Screens resolution is pretty good. Mostly using for reading and sometimes for watching movies/shows. Great feature is the possibility to use the card to expand the memory. Good product for great price!
4,Bought as a gift for my 86 yr old mom to stalk her kids and grandkids on FB. She mastered it in a few.minutes with minimal instruction. Now I have to watch my posts.
5,For a cheaper price this does more than my kindle- love having this tablet
5,Had a smaller version. Love the bigger screen. Use this product more than a computer.
5,I bought 2 of the kindles for my grandsons. They love them! Had them charged and set up right away. No issues at this point.
4,"Easy to use bought for our 5 year old, found a case which allows him to keep it safe."
4,Great 8 inches tablet with and amazing storage for apps.
5,Santa dropped this off for our 4th grader along with expanded memory. he uses it for Netflix and Youtube as well as Minecraft and other Apps. Why spend hundreds on something for basic kids needs? I'm sure this will last him a few years and is well worth the price.
5,Got this tablet for my 3 year old son and he can not put it down. It is so much to do. So many learning games. I love this product
4,"This tablet runs smooth with all amazon apps, the internet runs at a steady frame rate and it had a decent sized screen."
5,This is a good device for entertainment and entry level tasks. I think it can do a lot for the price.
5,Nice price for the new model with Alexa built in and expandable storage!
4,"I have enjoyed the new Kindle,however, was extremely disappointed that it does not have an HDMI port like the old version did."
4,this product is really awesome for kids to play in all sorts.We can use a strong case and let kids play in it .
4,i like the features it has and it is easy to navigate.
4,This is perfect my kids to do their school work on and have fun as well.
5,Great gift for my dad. Clear picture and easy set up
5,Love my kindle! Works better than expected! Kindle is much faster than my old tablet!
5,"I have never owned a tablet. Wanted an I-Pad like most, but couldn't afford the sticker price. This one fit my needs perfect. I mainly just use it for web surfing and streaming video. No complaints so far! I would recommend this device."
5,also great for listening to music and also for movies
5,The screen picture is crisp and bright. I will use this tablet for many things.
5,small and powerful... great adult toy for a reader
5,"This was purchased as a Christmas present for my aunt who lives with us. For the price, I thought it would be a good option for her since she doesn't want to drop the cash on an iPad.For comparison, the closest thing I have is an 8"" insignia tablet with similar screen resolution, storage, and features that was released at the same time. The Fire tablet impresses me! It is more responsive than the existing android tablet I have.This tablet runs FireOS which is Amazon's customized version of Android. Typically I do not like custom Android, preferring to have as close to a vanilla system as possible. I am not bothered by that with the Fire. If you need them the parental controls are second to none! The Amazon app store is extensive, although not as extensive as the Google Play store. Still you should be able to find pretty much everything you need there.This is not a flagship device, but performs incredibly for the price. I will most likely be purchasing one soon for myself."
3,I was hoping to use Google launcher with this tablet but it is really locked down and you cannot change the launcher or the lock screen. Still cheap and fine for watching movies.
5,"Great tablet for reading and also surfacing the web, along with your favorite social media apps!"
4,"The price is low because Amazon uses their adds to subsidize the price. The actual tablet works well. The biggest negative is that you can only install apps from the Amazon store. There are many Android Apps available in the google store that are not available in the Amazon store.I primarily use the tablet for bible gateway, dish anywhere, play some games, read the newspaper, and Facebook. In the future I want to try to use it with my local library."
4,Screen is very clear and battery last a long time. Very good substitute if you can afford a iPad.
3,"The tablet works fine. It is responsive with good resolution. It is too tied to Amazon. It requires too many hoops to get apps such as Zinio to work. Until Amazon loosens its grip, I recommend only at a very good price."
5,A Great value for the money you can save instead of a Ipad from Apple.
4,Fun and reliable. Good quality for the money. Easy to use.
5,"Great for reading - nice image, easy on the eyes and lightweight."
5,"Bought this for my 10 year old daughter for Christmas! She LOVES it!!! A great alternative to a pricey iPad Mini!!! She uses it for watching Netflix, YouTube and we use it for homeschool. We are very happy with our purchase!!!"
5,I got this tablet on sale for my wife and she loves it
4,So far so good with the kindle fire hd. still need to play with it to see how to maximize our use.
5,"We love Kindle Fire, we purchase it for an older couple and it's easy to work."
5,The Amazon Fire is a great tablet with awesome graphics. I use it mainly for surfing the web and have had no issues with it.
4,Purchased for my nephew for Christmas. Used it everyday. Very good product and screen size is perfect for him.
5,Great tablet for the price. My granddaughter loves how user friendly it is.
5,got this for my nieces aged 6-13 they loved it and so did their parents really keeps them occupied
5,This was a gift for mom. She enjoys that it's easy to use and has good picture and sound quality. The price was also great
4,"Was wanting a bigger screen, which it is, trying to get use to different applications, so far seems easy."
5,The Amazon fire is simply amazing I would not buy anything else.
1,Didn't want to go to the sites amazon wanted me to.
5,We bought this for our three daughters! Got a kid proof case and added free time for a low monthly fee and couldn't be happier! So much better than worrying about them breaking my phone or iPad!
5,"I love my Kindle. I won't be without one. I've even bought an extra one, just in case. I believe it's the best tablet on the market."
4,Bought one to replace the smaller (non HD) version. Lot faster and picture is noticeably better. Would recommend for anyone not wanting to spend the extra $50 or so on the big names.
5,"Could not have asked for a better tablet for the money. I wasn't looking for anything extreme. Just wanted it to look nice and do it's job for games and browsing. Well it does that and more. Gave it to our son for Christmas and now I want one myself. We are going to buy another for my mother in law. Lightweight, simple layout. Snappy. Can't go wrong."
5,It was a perfect gift for my godson. He loved it! Definitely would recommend this product.
5,I can do a lot of things on my Kindle I used to rely on the computer for.
5,Excellent resource for children video streaming by Wifi using mobile hotspot with kids.
4,"The kindle fire tablets are great for the price. They have solid performance in battery life and processing power. The only downside is that the Operating System is a different variation of Android, so there could be some incompatibilities."
4,best choice under 100$ in marketamazon is the best!!!
4,I really didnt expect how its going to work.but its very good.gifted to my friend
5,Bought this as a gift for my mom and this was to replace her original Kindle Fire. She's have had a month now and is loving and no problems with it.
5,This was a request from our 7 yr old granddaugter who had always asked her older sister if she could share hers due to we bought this same tablet/size a few yrs earlier. Loved the security/parental control options.Starfall a favorite educational app were told is a must have. Really enjoy Pics/Viber due to their in a different state. Also some games on a time limit. Size and resolution are perfect.
4,"This is the best device I have found for my e-books. I know it can be used for a lot more, but it is my library in my hand."
4,"I bought this tablet to be pretty much exclusively an e-reader. It's actually cheaper than most of the kindles. For that limited use, it works fine. I don't think I would want to use it as a general purpose table (too slow!). Makes a fine e-reader though. As for recommending this to a friend, I would, but would make sure they knew what I use it for."
5,"I bought this as a Christmas present for my sister and she LOVES it. It's easy to use, lightweight and doesn't seem to have a lot of bugs or glitches. It's a good source of entertainment for when she's at work but has down-time. She passes the time reading ebooks, browsing the web and playing games."
5,"I originally purchased a Kindle paperwhite but returned it the next day and purchased this one. Very easy to read on, watch movies, and listen to music."
4,Works well. Easy to use. Battery seems to be good. Would buy again.
4,Ticks all the boxes I was looking for at a price I was happy to pay. One caveat that I (or the Best Buy and Geek Squad crews) was unaware of: there is a glitch in the keyboard that prevents it from working properly. Kindle/Amazon are aware of the glitch and will download a third-party keyboard fix to replace the keyboard that's built in to the unit until they are able to fix the problem. I made Geek Squad aware of it and they should know about it now.
4,Amazon MayDay functionality is not available and this was unexpected. Other services and functionality as expected
5,Perfect tablet to take anywhere you go and lighter than my IPad.
5,Easy to use tablet for every day use. Additional apps can help increase productivity for work and daily use.
5,This tablet does all I need a tablet to do. Reason why it's my 3rd one.
